Time,Pressure,Temperature,Position,Flow,Speed,CycleCount,Health,Fault,Vibration,Load
48,5.92,32.19,100,10.1,120.11,29,99.54,Healthy,0.25,40.68
49,5.71,32.06,90,10.32,124.58,29,99.53,Healthy,0.29,30.12
50,5.72,32.14,100,10.12,124.85,30,99.53,Healthy,0.27,16.05
51,5.58,32.46,90,10.31,126.04,30,99.53,Healthy,0.25,11.13
52,5.93,32.59,100,9.69,119.56,31,99.52,Healthy,0.31,44.12
53,5.9,32.56,90,10.11,119.28,31,99.5,Healthy,0.36,47.39
54,5.87,32.29,100,10.43,117.8,32,99.49,Healthy,0.44,45.15
55,5.84,32.28,90,10.25,122.45,32,99.48,Healthy,0.49,39.08
56,5.7,32.38,100,10.46,123.42,33,99.47,Healthy,0.53,24.36
57,5.66,32.12,90,9.84,128.78,33,99.45,Healthy,0.58,10.84
58,5.56,31.97,100,9.95,126.36,34,99.44,Healthy,0.55,8.96
59,5.73,31.92,90,9.76,124.95,34,99.42,Healthy,0.26,15.39
60,5.63,32.1,100,10.38,129.67,35,99.41,Healthy,0.21,7.38
61,5.6,31.97,90,10.16,125.71,35,99.39,Healthy,0.37,14.06
62,5.74,32.13,100,9.89,120.35,36,99.37,Healthy,0.2,31.99
63,5.74,32.29,90,9.73,126.81,36,99.35,Healthy,0.41,19.27
64,5.92,32.38,100,10.14,120.42,37,99.34,Healthy,0.5,35.92
65,5.58,32.68,90,9.78,130,37,99.32,Healthy,0.49,7.06
66,5.83,32.52,100,9.66,122.53,38,99.31,Healthy,0.4,25.83
67,5.83,32.56,90,9.97,121.54,38,99.31,Healthy,0.39,33.98
68,5.91,32.69,100,9.51,121.04,39,99.3,Healthy,0.56,39.32
69,5.79,32.43,90,10.35,122.01,39,99.29,Healthy,0.26,27.62
70,5.8,32.57,100,10.09,121.36,40,99.28,Healthy,0.35,37.84
71,5.91,32.61,90,9.93,120.43,40,99.27,Healthy,0.38,43.68
72,5.96,32.61,100,9.62,119.16,41,99.27,Healthy,0.49,39.73
73,5.96,32.51,90,9.99,119.97,41,99.26,Healthy,0.4,38.91
74,5.95,32.69,100,10.26,120.74,42,99.25,Healthy,0.45,41.83
75,5.93,32.55,90,9.97,119.41,42,99.24,Healthy,0.25,49.3
76,5.66,32.71,100,10.42,126.05,43,99.22,Healthy,0.49,20.9
77,5.79,32.72,90,9.68,125.54,43,99.2,Healthy,0.21,22.33
78,5.73,32.62,100,10.25,121.29,44,99.18,Healthy,0.29,32.37
79,5.84,32.52,90,10.37,124.55,44,99.17,Healthy,0.46,26.42
80,5.61,32.86,100,10.1,127.98,45,99.16,Healthy,0.5,7.12
81,5.77,32.81,90,9.55,121.15,45,99.14,Healthy,0.47,33.0
82,5.53,32.7,100,10.23,128.98,46,99.14,Healthy,0.28,7.31
83,5.89,32.58,90,9.97,120.34,46,99.13,Healthy,0.54,37.94
84,5.69,32.73,100,10.06,127.47,47,99.12,Healthy,0.29,17.76
85,5.92,32.68,90,9.55,121.15,47,99.1,Healthy,0.25,39.49
86,5.83,32.88,100,10.44,121.21,48,99.09,Healthy,0.29,30.51
87,5.69,32.78,90,10.24,122.4,48,99.08,Healthy,0.31,28.66
88,5.86,32.72,100,10.07,123.33,49,99.07,Healthy,0.37,28.26
89,5.69,32.67,90,10.28,125.16,49,99.07,Healthy,0.24,21.42
90,5.96,32.68,100,10.03,122.19,50,99.07,Healthy,0.56,38.01
91,5.81,32.83,90,9.84,123.68,50,99.06,Healthy,0.5,22.21
92,5.84,32.52,100,10.38,123.9,51,99.05,Healthy,0.59,26.38
93,5.96,32.5,90,10.34,119.54,51,99.04,Healthy,0.52,38.35
94,5.99,32.62,100,9.52,118.62,52,99.03,Healthy,0.28,41.89
95,5.74,32.56,90,9.84,122.98,52,99.03,Healthy,0.29,22.5
96,5.66,32.5,100,9.9,126.35,53,99.02,Healthy,0.48,20.35
97,5.66,32.51,90,10.35,124.04,53,99.01,Healthy,0.46,25.48
98,5.54,32.24,100,10.38,129.58,54,99.0,Healthy,0.26,5.97
99,5.97,32.47,90,10.17,121.1,54,99.0,Healthy,0.25,45.31
100,6.0,32.58,100,9.91,121.08,55,99.0,Healthy,0.48,45.13
101,5.72,32.53,90,10.47,123.57,55,98.99,Healthy,0.46,31.44
102,5.82,32.66,100,10.12,119.48,56,98.98,Healthy,0.46,36.28
103,5.64,32.63,90,10.08,129.72,56,98.97,Healthy,0.48,9.06
104,5.67,32.78,100,10.06,127.31,57,98.97,Healthy,0.23,17.6
105,5.73,32.77,90,10.01,126.35,57,98.95,Healthy,0.55,20.98
106,5.79,33.05,100,10.02,122.53,58,98.95,Healthy,0.53,26.96
107,5.8,32.69,90,9.52,120.24,58,98.95,Healthy,0.59,39.03
108,5.86,32.65,100,9.94,118.83,59,98.94,Healthy,0.38,45.79
109,5.71,32.91,90,10.47,121.44,59,98.94,Healthy,0.46,28.57
110,6.0,32.75,100,10.01,116.63,60,98.93,Healthy,0.2,49.55
111,5.89,32.57,90,9.85,121.17,60,98.92,Healthy,0.56,33.32
112,5.56,32.62,100,9.7,127.47,61,98.92,Healthy,0.25,12.44
113,5.64,32.3,90,10.27,123.54,61,98.91,Healthy,0.39,18.81
114,5.71,32.08,100,9.63,123.14,62,98.91,Healthy,0.39,27.27
115,6.0,32.0,90,10.3,119.0,62,98.9,Healthy,0.59,48.8
116,5.75,32.29,100,9.7,122.92,63,98.88,Healthy,0.24,22.5
117,5.97,32.41,90,10.01,119.17,63,98.87,Healthy,0.4,49.37
118,5.89,32.49,100,10.26,120.52,64,98.86,Healthy,0.48,41.53
119,5.57,32.46,90,9.97,129.32,64,98.84,Healthy,0.51,9.11
120,5.86,32.57,100,10.02,119.48,65,98.83,Healthy,0.31,37.36
121,5.7,32.48,90,10.17,124.78,65,98.82,Healthy,0.43,13.47
122,6.0,32.27,100,9.53,119.66,66,98.82,Healthy,0.41,49.28
123,5.96,32.41,90,9.93,120.08,66,98.82,Healthy,0.58,36.98
124,5.94,32.37,100,10.13,119.78,67,98.8,Healthy,0.27,43.9
125,5.9,32.37,90,9.89,119.24,67,98.79,Healthy,0.58,36.56
126,5.77,32.33,100,9.82,122.53,68,98.78,Healthy,0.38,28.03
127,5.96,32.19,90,9.57,118.7,68,98.77,Healthy,0.29,39.65
128,5.61,32.33,100,10.03,126.09,69,98.76,Healthy,0.26,12.42
129,5.91,32.7,90,10.28,121.49,69,98.75,Healthy,0.54,33.62
130,5.8,32.62,100,10.33,122.09,70,98.74,Healthy,0.35,27.44
131,5.63,32.39,90,10.12,124.74,70,98.73,Healthy,0.51,20.43
132,5.86,32.41,100,9.65,122.18,71,98.71,Healthy,0.4,33.64
133,5.89,32.42,90,9.52,118.98,71,98.69,Healthy,0.25,46.98
134,5.77,32.45,100,9.82,124.67,72,98.68,Healthy,0.45,23.01
135,5.72,32.35,90,9.7,124.28,72,98.67,Healthy,0.42,20.74
136,5.85,32.4,100,9.53,120.1,73,98.66,Healthy,0.45,34.45
137,5.74,32.42,90,10.5,122.2,73,98.65,Healthy,0.22,32.38
138,5.61,32.36,100,9.76,125.43,74,98.64,Healthy,0.22,16.7
139,5.85,32.68,90,10.12,123.4,74,98.64,Healthy,0.48,31.9
140,5.66,32.61,100,9.75,129.57,75,98.62,Healthy,0.48,9.27
141,5.83,32.66,90,9.74,120.34,75,98.6,Healthy,0.54,36.83
142,5.7,32.56,100,10.4,124.06,76,98.58,Healthy,0.44,23.6
143,5.89,32.51,90,10.48,121.41,76,98.58,Healthy,0.39,35.3
144,5.67,32.6,100,9.99,125.08,77,98.56,Healthy,0.22,17.0
145,5.88,32.47,90,9.66,123.13,77,98.55,Healthy,0.48,36.5
146,5.49,32.31,100,9.56,130,78,98.54,Healthy,0.51,5.71
147,5.5,32.09,90,9.81,126.65,78,98.53,Healthy,0.23,7.18
148,5.97,32.2,100,10.39,119.71,79,98.51,Healthy,0.6,48.64
149,5.9,32.39,90,9.62,117.86,79,98.5,Healthy,0.6,49.23
150,5.83,32.42,100,10.49,120.88,80,98.5,Healthy,0.23,35.11
151,5.95,32.53,90,10.13,121.16,80,98.49,Healthy,0.32,40.57
152,5.6,32.62,100,9.57,127.83,81,98.48,Healthy,0.31,8.9
153,5.49,32.56,90,10.3,127.79,81,98.47,Healthy,0.46,7.23
154,5.9,32.58,100,9.93,121.14,82,98.46,Healthy,0.48,41.4
155,5.85,32.43,90,9.59,124.05,82,98.45,Healthy,0.5,32.17
156,5.76,32.32,100,10.05,121.76,83,98.45,Healthy,0.38,30.26
157,5.56,32.68,90,9.74,127.37,83,98.44,Healthy,0.5,13.13
158,5.85,32.71,100,9.97,124.65,84,98.44,Healthy,0.56,25.78
159,5.69,32.78,90,9.64,126.48,84,98.43,Healthy,0.59,12.28
160,5.68,32.55,100,9.52,127.25,85,98.42,Healthy,0.27,17.28
161,5.73,32.47,90,10.15,126.26,85,98.42,Healthy,0.6,18.45
162,5.79,32.39,100,10.19,126.14,86,98.41,Healthy,0.4,22.44
163,5.87,32.58,90,10.47,118.27,86,98.4,Healthy,0.25,43.58
164,5.6,32.3,100,9.55,126.1,87,98.39,Healthy,0.5,9.46
165,6.0,32.22,90,9.97,117.15,87,98.39,Healthy,0.3,46.47
166,5.84,32.25,100,10.47,122.66,88,98.38,Healthy,0.45,33.81
167,5.68,32.39,90,10.21,122.31,88,98.37,Healthy,0.32,25.23
168,5.74,32.37,100,10.25,124.11,89,98.36,Healthy,0.35,21.82
169,5.97,32.48,90,10.2,120.38,89,98.35,Healthy,0.36,40.18
170,5.85,32.66,100,10.49,122.95,90,98.35,Healthy,0.59,27.59
171,5.66,32.89,90,9.53,125.8,90,98.34,Healthy,0.2,10.49
172,5.98,33.03,100,10.14,118.65,91,98.34,Healthy,0.26,45.93
173,5.8,32.93,90,10.11,120.81,91,98.33,Healthy,0.23,39.49
174,5.67,32.91,100,10.07,128.2,92,98.32,Healthy,0.32,7.45
175,6.0,32.62,90,10.49,120.22,92,98.31,Healthy,0.25,43.8
176,5.5,32.38,100,10.27,128.22,93,98.31,Healthy,0.44,7.85
177,5.57,32.46,90,9.95,126.06,93,98.31,Healthy,0.49,11.17
178,5.71,32.65,100,9.73,124.09,94,98.31,Healthy,0.22,22.28
179,5.67,32.56,90,10.25,123.91,94,98.29,Healthy,0.58,20.4
180,5.67,32.66,100,10.32,125.22,95,98.29,Healthy,0.22,13.88
181,5.86,32.67,90,10.28,118.22,95,98.28,Healthy,0.48,44.67
182,5.63,32.57,100,9.84,125.54,96,98.27,Healthy,0.48,13.15
183,5.54,32.75,90,9.85,126.26,96,98.25,Healthy,0.36,12.05
184,6.0,32.71,100,9.81,119.15,97,98.24,Healthy,0.42,45.13
185,5.77,32.94,90,10.2,124.86,97,98.22,Healthy,0.56,17.81
186,6.0,32.92,100,10.15,118.5,98,98.21,Healthy,0.3,47.04
187,5.63,32.95,90,9.72,126.35,98,98.2,Healthy,0.26,15.66
188,5.81,33.05,100,9.59,119.08,99,98.19,Healthy,0.49,40.79
189,5.89,33.09,90,9.74,119.34,99,98.17,Healthy,0.49,38.36
190,5.88,32.93,100,10.3,122.67,100,98.16,Healthy,0.36,36.01
191,5.64,33.09,90,10.08,127.66,100,98.16,Healthy,0.55,13.58
192,5.87,32.96,100,9.77,119.23,101,98.16,Healthy,0.33,46.84
193,5.91,32.84,90,10.38,121.67,101,98.16,Healthy,0.37,36.09
194,5.6,32.87,100,10.08,126.92,102,98.16,Healthy,0.28,15.16
195,5.77,32.88,90,9.82,121.37,102,98.16,Healthy,0.38,30.5
196,5.68,32.72,100,9.88,128.22,103,98.16,Healthy,0.22,15.56
197,5.83,32.71,90,10.12,120.97,103,98.15,Healthy,0.32,39.68
198,5.92,32.55,100,9.6,116.12,104,98.13,Healthy,0.55,49.82
199,5.82,32.63,90,10.11,122.57,104,98.12,Healthy,0.5,37.16
200,5.67,32.78,100,10.47,127.57,105,98.11,Healthy,0.34,17.94
201,5.71,32.72,90,10.32,122.5,105,98.09,Healthy,0.46,30.58
202,5.86,32.87,100,10.33,119.96,106,98.07,Healthy,0.38,43.2
203,5.77,33.01,90,10.14,123.91,106,98.07,Healthy,0.37,31.31
204,5.68,32.85,100,10.0,124.75,107,98.06,Healthy,0.58,27.24
205,6.0,33.08,90,9.58,118.79,107,98.05,Healthy,0.47,46.78
206,5.86,33.2,100,9.73,122.41,108,98.05,Healthy,0.49,34.97
207,5.88,33.27,90,9.73,120.75,108,98.04,Healthy,0.48,37.69
208,5.67,33.09,100,9.52,125.42,109,98.03,Healthy,0.34,19.99
209,6.0,33.03,90,10.1,118.27,109,98.03,Healthy,0.46,42.63
210,5.97,32.76,100,10.34,121.22,110,98.03,Healthy,0.24,44.81
211,5.62,32.86,90,9.85,123.91,110,98.01,Healthy,0.23,20.11
212,5.82,32.84,100,9.74,124.84,111,97.99,Healthy,0.21,28.81
213,5.95,32.81,90,9.74,119.28,111,97.99,Healthy,0.39,42.08
214,5.67,32.5,100,9.81,128.71,112,97.99,Healthy,0.5,9.08
215,5.75,32.35,90,9.9,123.03,112,97.97,Healthy,0.51,30.37
216,5.79,32.48,100,10.3,120.71,113,97.95,Healthy,0.35,34.45
217,5.89,32.78,90,9.51,119.3,113,97.93,Healthy,0.6,42.1
218,5.73,32.72,100,9.55,124.93,114,97.91,Healthy,0.29,13.16
219,5.7,32.64,90,9.74,125.17,114,97.9,Healthy,0.21,28.39
220,5.66,32.88,100,9.87,124.48,115,97.89,Healthy,0.41,17.75
221,5.84,32.64,90,9.96,121.85,115,97.88,Healthy,0.54,40.97
222,5.54,32.51,100,10.23,126.54,116,97.87,Healthy,0.55,7.5
223,5.77,32.65,90,9.94,123.61,116,97.86,Healthy,0.47,18.59
224,5.58,32.74,100,9.8,127.99,117,97.85,Healthy,0.34,11.28
225,5.8,32.88,90,9.7,119.7,117,97.84,Healthy,0.31,38.24
226,5.69,32.98,100,10.05,124.92,118,97.84,Healthy,0.34,23.59
227,5.66,32.94,90,10.32,125.29,118,97.84,Healthy,0.28,14.44
228,5.65,33.03,100,10.18,127.67,119,97.83,Healthy,0.41,16.23
229,5.57,32.97,90,10.32,124.75,119,97.82,Healthy,0.5,15.26
230,5.53,33.01,100,9.75,127.23,120,97.82,Healthy,0.42,9.04
231,5.88,33.08,90,9.76,123.52,120,97.81,Healthy,0.24,30.39
232,5.82,32.86,100,9.65,123.7,121,97.8,Healthy,0.47,29.12
233,5.56,32.52,90,9.85,125.24,121,97.8,Healthy,0.26,14.5
234,5.53,32.32,100,9.8,125.23,122,97.8,Healthy,0.36,11.96
235,5.78,32.23,90,10.41,124.35,122,97.79,Healthy,0.38,23.14
236,5.71,32.12,100,10.22,125.86,123,97.78,Healthy,0.44,16.61
237,5.81,32.13,90,10.02,124.3,123,97.77,Healthy,0.54,24.24
238,5.91,32.3,100,9.84,120.31,124,97.75,Healthy,0.59,48.28
239,5.73,32.48,90,9.9,121.42,124,97.74,Healthy,0.43,31.19
240,6.0,32.51,100,9.71,119.54,125,97.72,Healthy,0.49,42.43
241,5.96,32.3,90,10.44,119.14,125,97.72,Healthy,0.34,42.69
242,5.91,32.41,100,9.53,123.23,126,97.72,Healthy,0.48,35.92
243,5.62,32.59,90,9.63,124.85,126,97.72,Healthy,0.43,14.66
244,5.9,32.88,100,10.14,119.83,127,97.72,Healthy,0.51,42.18
245,5.61,32.91,90,10.1,127.83,127,97.72,Healthy,0.29,16.13
246,5.68,33.07,100,9.7,124.86,128,97.71,Healthy,0.53,23.33
247,5.9,33.12,90,10.3,117.85,128,97.7,Healthy,0.32,45.51
248,5.68,32.79,100,10.47,127.57,129,97.69,Healthy,0.3,13.71
249,5.95,32.7,90,9.84,118.72,129,97.69,Healthy,0.46,38.83
250,5.74,32.49,100,9.59,123.12,130,97.68,Healthy,0.56,20.56
251,5.7,32.17,90,9.88,128.15,130,97.66,Healthy,0.29,11.57
252,5.65,32.08,100,10.16,123.85,131,97.65,Healthy,0.45,21.36
253,5.63,32.1,90,10.31,128.74,131,97.64,Healthy,0.56,5.92
254,5.72,32.08,100,10.15,127.45,132,97.63,Healthy,0.23,12.53
255,5.7,32.09,90,9.78,127.49,132,97.63,Healthy,0.55,12.69
256,5.66,31.98,100,10.26,126.31,133,97.62,Healthy,0.26,16.34
257,5.64,32.11,90,9.7,125.91,133,97.61,Healthy,0.55,18.64
258,5.8,32.02,100,9.96,121.88,134,97.6,Healthy,0.21,25.61
259,5.8,32.07,90,9.69,124.38,134,97.59,Healthy,0.3,26.75
260,5.57,31.93,100,10.0,125.48,135,97.57,Healthy,0.58,13.71
261,5.58,32.02,90,9.84,127.5,135,97.56,Healthy,0.38,11.28
262,5.85,32.32,100,10.25,122.66,136,97.55,Healthy,0.25,30.61
263,5.65,32.16,90,9.97,126.21,136,97.53,Healthy,0.46,14.35
264,5.59,32.19,100,9.83,126.0,137,97.52,Healthy,0.23,13.59
265,5.83,32.29,90,9.91,124.08,137,97.5,Healthy,0.23,32.79
266,5.71,32.49,100,9.61,121.62,138,97.49,Healthy,0.45,28.13
267,5.63,32.39,90,10.43,128.33,138,97.47,Healthy,0.26,7.02
268,5.7,32.21,100,9.76,125.27,139,97.46,Healthy,0.54,19.17
269,5.82,32.4,90,9.55,119.96,139,97.44,Healthy,0.43,34.39
270,5.76,32.25,100,9.93,126.63,140,97.42,Healthy,0.43,19.97
271,5.9,32.63,90,10.42,123.15,140,97.41,Healthy,0.52,35.29
272,5.63,32.56,100,10.0,127.93,141,97.39,Healthy,0.22,14.2
273,5.61,32.68,90,9.72,128.19,141,97.37,Healthy,0.46,5.72
274,5.77,32.4,100,9.7,124.54,142,97.35,Healthy,0.54,18.54
275,6.0,32.41,90,10.33,118.05,142,97.33,Healthy,0.51,48.3
276,6.0,32.4,100,9.75,119.75,143,97.32,Healthy,0.49,49.17
277,5.74,32.55,90,10.14,121.75,143,97.32,Healthy,0.34,28.85
278,5.8,32.63,100,9.9,123.49,144,97.32,Healthy,0.56,34.99
279,5.66,32.69,90,9.58,126.72,144,97.31,Healthy,0.55,9.82
280,5.8,32.93,100,9.63,123.91,145,97.29,Healthy,0.53,20.39
281,5.73,32.65,90,9.96,125.88,145,97.27,Healthy,0.38,17.24
282,5.9,32.48,100,10.13,118.92,146,97.25,Healthy,0.47,39.51
283,5.52,32.37,90,9.85,126.43,146,97.24,Healthy,0.28,7.13
284,5.69,32.24,100,10.3,123.46,147,97.23,Healthy,0.37,24.33
285,5.89,32.57,90,9.85,119.15,147,97.22,Healthy,0.26,45.75
286,6.0,32.5,100,9.85,118.68,148,97.22,Healthy,0.54,49.24
287,5.84,32.38,90,9.5,123.42,148,97.22,Healthy,0.32,29.06
288,5.53,32.44,100,10.47,127.85,149,97.22,Healthy,0.53,8.25
289,5.76,32.57,90,10.43,124.37,149,97.2,Healthy,0.37,23.31
290,5.67,32.46,100,9.67,124.55,150,97.18,Healthy,0.25,22.02
291,5.74,32.3,90,9.87,125.0,150,97.16,Healthy,0.56,22.89
292,5.8,32.45,100,9.7,120.84,151,97.15,Healthy,0.49,34.5
293,5.96,32.25,90,9.77,121.57,151,97.13,Healthy,0.37,36.65
294,5.48,32.23,100,9.96,127.45,152,97.13,Healthy,0.32,7.59
295,5.92,32.14,90,9.72,122.41,152,97.11,Healthy,0.33,34.75
296,5.99,31.98,100,9.85,117.09,153,97.1,Healthy,0.24,48.59
297,6.0,32.01,90,9.85,120.0,153,97.08,Healthy,0.57,43.08
298,5.97,32.18,100,10.27,120.24,154,97.06,Healthy,0.59,45.81
299,6.0,32.31,90,10.35,118.68,154,97.04,Healthy,0.48,47.76
300,5.74,32.49,100,10.3,125.16,155,97.04,Healthy,0.5,26.19
301,5.76,32.53,90,9.78,122.11,155,97.03,Healthy,0.21,25.43
302,5.79,32.41,100,10.19,124.04,156,97.03,Healthy,0.57,25.82
303,5.83,32.18,90,9.87,120.63,156,97.02,Healthy,0.51,39.56
304,5.63,32.1,100,10.39,125.85,157,97.02,Healthy,0.47,10.18
305,5.84,31.9,90,10.5,119.26,157,97.0,Healthy,0.5,43.36
306,5.78,31.84,100,10.28,123.3,158,97.0,Healthy,0.47,25.24
307,5.54,31.75,90,10.44,126.91,158,96.99,Healthy,0.57,12.91
308,5.75,31.68,100,10.42,124.6,159,96.98,Healthy,0.46,30.69
309,5.86,31.56,90,10.46,120.16,159,96.97,Healthy,0.32,41.57
310,5.54,31.8,100,9.84,127.33,160,96.97,Healthy,0.59,13.87
311,5.9,31.6,90,10.29,119.32,160,96.97,Healthy,0.21,49.83
312,5.82,31.81,100,9.5,123.76,161,96.96,Healthy,0.46,33.07
313,5.79,32.03,90,10.45,123.57,161,96.94,Healthy,0.54,28.29
314,5.6,32.17,100,9.98,125.87,162,96.92,Healthy,0.33,17.35
315,5.75,32.34,90,10.07,126.39,162,96.9,Healthy,0.33,16.39
316,5.78,32.08,100,10.41,121.31,163,96.9,Healthy,0.56,28.26
317,5.8,32.23,90,9.51,123.26,163,96.89,Healthy,0.53,28.9
318,5.84,32.35,100,9.53,124.93,164,96.88,Healthy,0.57,27.18
319,5.9,32.41,90,10.23,119.98,164,96.88,Healthy,0.27,47.62
320,5.88,32.5,100,9.71,121.66,165,96.88,Healthy,0.29,36.16
321,5.89,32.47,90,10.38,120.3,165,96.87,Healthy,0.3,38.96
322,5.91,32.5,100,10.33,117.81,166,96.86,Healthy,0.39,44.55
323,5.73,32.4,90,9.64,127.67,166,96.86,Healthy,0.33,16.8
324,5.96,32.41,100,9.76,120.19,167,96.86,Healthy,0.56,36.87
325,5.59,32.33,90,10.32,128.95,167,96.86,Healthy,0.33,10.1
326,5.71,32.5,100,9.82,124.53,168,96.85,Healthy,0.33,21.87
327,5.76,32.51,90,10.42,123.07,168,96.84,Healthy,0.22,26.18
328,5.71,32.46,100,9.63,125.29,169,96.84,Healthy,0.34,18.86
329,5.72,32.29,90,9.88,121.3,169,96.82,Healthy,0.36,29.1
330,5.73,32.31,100,10.06,125.45,170,96.82,Healthy,0.52,17.35
331,5.79,32.38,90,10.45,123.75,170,96.81,Healthy,0.45,24.78
332,5.82,32.27,100,9.96,121.4,171,96.81,Healthy,0.46,38.42
333,5.69,32.59,90,10.49,126.14,171,96.8,Healthy,0.29,18.08
334,5.73,32.53,100,10.06,125.54,172,96.8,Healthy,0.41,26.83
335,5.56,32.72,90,9.94,126.88,172,96.78,Healthy,0.26,7.27
336,5.62,32.61,100,9.89,125.51,173,96.76,Healthy,0.34,10.54
337,5.52,32.62,90,9.96,129.44,173,96.75,Healthy,0.54,6.44
338,5.68,32.59,100,10.25,123.17,174,96.73,Healthy,0.39,26.6
339,5.86,32.5,90,10.12,123.5,174,96.71,Healthy,0.57,33.05
340,5.5,32.61,100,10.1,127.91,175,96.7,Healthy,0.4,9.81
341,5.9,32.61,90,9.62,118.44,175,96.69,Healthy,0.51,41.77
342,5.69,32.59,100,10.36,122.65,176,96.67,Healthy,0.58,26.78
343,5.63,32.32,90,10.15,126.86,176,96.66,Healthy,0.27,7.06
344,5.93,32.32,100,9.55,119.61,177,96.64,Healthy,0.51,41.23
345,5.75,32.32,90,10.3,120.97,177,96.63,Healthy,0.59,34.66
346,5.88,32.13,100,10.2,124.44,178,96.62,Healthy,0.42,28.97
347,5.92,32.1,90,10.47,117.59,178,96.62,Healthy,0.59,43.69
348,5.98,31.96,100,9.99,119.35,179,96.61,Healthy,0.32,46.18
349,5.74,32.01,90,10.41,124.97,179,96.61,Healthy,0.27,29.0
350,5.9,32.25,100,9.87,122.33,180,96.61,Healthy,0.4,39.46
351,5.69,32.22,90,10.09,126.03,180,96.6,Healthy,0.58,18.64
352,5.71,32.42,100,10.44,123.19,181,96.59,Healthy,0.44,24.19
353,5.82,32.5,90,9.65,124.54,181,96.58,Healthy,0.39,23.37
354,5.82,32.64,100,10.39,122.46,182,96.56,Healthy,0.24,26.46
355,6.0,32.61,90,10.4,117.72,182,96.54,Healthy,0.29,48.99
356,5.62,32.82,100,9.62,127.81,183,96.53,Healthy,0.35,10.24
