Time,RunID,Step,PlannedFault,ObservedFault,Severity,FaultStart,RiseTime,MaximumSeverity,Direction,LoadPhase,ValveEvent
56,1,55,Pressure Drop,Healthy,0.0042,52,66,0.4,-1,1,0
57,1,56,Pressure Drop,Healthy,0.0065,52,66,0.4,-1,1,0
58,1,57,Pressure Drop,Healthy,0.0093,52,66,0.4,-1,1,0
59,1,58,Pressure Drop,Healthy,0.0125,52,66,0.4,-1,1,0
60,1,59,Pressure Drop,Healthy,0.0162,52,66,0.4,1,1,0
61,1,60,Pressure Drop,Healthy,0.0203,52,66,0.4,1,1,0
62,1,61,Pressure Drop,Healthy,0.0248,52,66,0.4,1,1,0
63,1,62,Pressure Drop,Healthy,0.0296,52,66,0.4,1,1,0
64,1,63,Pressure Drop,Healthy,0.0349,52,66,0.4,1,1,0
65,1,64,Pressure Drop,Healthy,0.0404,52,66,0.4,1,1,0
66,1,65,Pressure Drop,Healthy,0.0464,52,66,0.4,1,1,0
67,1,66,Pressure Drop,Healthy,0.0526,52,66,0.4,1,1,0
68,1,67,Pressure Drop,Healthy,0.0591,52,66,0.4,1,1,0
69,1,68,Pressure Drop,Healthy,0.0659,52,66,0.4,1,1,0
70,1,69,Pressure Drop,Healthy,0.073,52,66,0.4,-1,1,0
71,1,70,Pressure Drop,Healthy,0.0804,52,66,0.4,-1,1,0
72,1,71,Pressure Drop,Healthy,0.0879,52,66,0.4,-1,1,0
73,1,72,Pressure Drop,Healthy,0.0957,52,66,0.4,-1,1,0
74,1,73,Pressure Drop,Healthy,0.1037,52,66,0.4,-1,1,0
75,1,74,Pressure Drop,Healthy,0.1119,52,66,0.4,-1,1,0
76,1,75,Pressure Drop,Healthy,0.1202,52,66,0.4,-1,1,0
77,1,76,Pressure Drop,Healthy,0.1287,52,66,0.4,-1,1,0
78,1,77,Pressure Drop,Healthy,0.1373,52,66,0.4,-1,1,0
79,1,78,Pressure Drop,Healthy,0.1461,52,66,0.4,-1,1,0
80,1,79,Pressure Drop,Pressure Drop,0.1549,52,66,0.4,1,1,0
81,1,80,Pressure Drop,Pressure Drop,0.1638,52,66,0.4,1,2,0
82,1,81,Pressure Drop,Pressure Drop,0.1728,52,66,0.4,1,2,0
83,1,82,Pressure Drop,Pressure Drop,0.1818,52,66,0.4,1,2,0
84,1,83,Pressure Drop,Pressure Drop,0.1909,52,66,0.4,1,2,0
85,1,84,Pressure Drop,Pressure Drop,0.2,52,66,0.4,1,2,0
86,1,85,Pressure Drop,Pressure Drop,0.2091,52,66,0.4,1,2,0
87,1,86,Pressure Drop,Pressure Drop,0.2182,52,66,0.4,1,2,0
88,1,87,Pressure Drop,Pressure Drop,0.2272,52,66,0.4,1,2,0
89,1,88,Pressure Drop,Pressure Drop,0.2362,52,66,0.4,1,2,0
90,1,89,Pressure Drop,Pressure Drop,0.2451,52,66,0.4,-1,2,0
91,1,90,Pressure Drop,Pressure Drop,0.2539,52,66,0.4,-1,2,0
92,1,91,Pressure Drop,Pressure Drop,0.2627,52,66,0.4,-1,2,0
93,1,92,Pressure Drop,Pressure Drop,0.2713,52,66,0.4,-1,2,0
94,1,93,Pressure Drop,Pressure Drop,0.2798,52,66,0.4,-1,2,0
95,1,94,Pressure Drop,Pressure Drop,0.2881,52,66,0.4,-1,2,0
96,1,95,Pressure Drop,Pressure Drop,0.2963,52,66,0.4,-1,2,0
97,1,96,Pressure Drop,Pressure Drop,0.3043,52,66,0.4,-1,2,0
98,1,97,Pressure Drop,Pressure Drop,0.3121,52,66,0.4,-1,2,0
99,1,98,Pressure Drop,Pressure Drop,0.3196,52,66,0.4,-1,2,0
100,1,99,Pressure Drop,Pressure Drop,0.327,52,66,0.4,1,2,0
101,1,100,Pressure Drop,Pressure Drop,0.3341,52,66,0.4,1,2,0
102,1,101,Pressure Drop,Pressure Drop,0.3409,52,66,0.4,1,2,0
103,1,102,Pressure Drop,Pressure Drop,0.3474,52,66,0.4,1,2,0
104,1,103,Pressure Drop,Pressure Drop,0.3536,52,66,0.4,1,2,0
105,1,104,Pressure Drop,Pressure Drop,0.3596,52,66,0.4,1,2,0
106,1,105,Pressure Drop,Pressure Drop,0.3651,52,66,0.4,1,2,0
107,1,106,Pressure Drop,Pressure Drop,0.3704,52,66,0.4,1,2,0
108,1,107,Pressure Drop,Pressure Drop,0.3752,52,66,0.4,1,2,0
109,1,108,Pressure Drop,Pressure Drop,0.3797,52,66,0.4,1,2,0
110,1,109,Pressure Drop,Pressure Drop,0.3838,52,66,0.4,-1,2,0
111,1,110,Pressure Drop,Pressure Drop,0.3875,52,66,0.4,-1,2,0
112,1,111,Pressure Drop,Pressure Drop,0.3907,52,66,0.4,-1,2,0
113,1,112,Pressure Drop,Pressure Drop,0.3935,52,66,0.4,-1,2,0
114,1,113,Pressure Drop,Pressure Drop,0.3958,52,66,0.4,-1,2,0
115,1,114,Pressure Drop,Pressure Drop,0.3976,52,66,0.4,-1,2,0
116,1,115,Pressure Drop,Pressure Drop,0.3989,52,66,0.4,-1,2,0
117,1,116,Pressure Drop,Pressure Drop,0.3997,52,66,0.4,-1,2,0
118,1,117,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
119,1,118,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
120,1,119,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
121,1,120,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
122,1,121,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
123,1,122,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
124,1,123,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
125,1,124,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
126,1,125,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
127,1,126,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
128,1,127,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
129,1,128,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
130,1,129,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
131,1,130,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
132,1,131,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
133,1,132,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
134,1,133,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
135,1,134,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
136,1,135,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
137,1,136,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
138,1,137,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
139,1,138,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
140,1,139,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
141,1,140,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
142,1,141,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
143,1,142,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
144,1,143,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
145,1,144,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
146,1,145,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
147,1,146,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
148,1,147,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
149,1,148,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
150,1,149,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
151,1,150,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
152,1,151,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
153,1,152,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
154,1,153,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
155,1,154,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
156,1,155,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
157,1,156,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
158,1,157,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
159,1,158,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,2,0
160,1,159,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,2,0
161,1,160,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
162,1,161,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
163,1,162,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
164,1,163,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
165,1,164,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
166,1,165,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
167,1,166,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
168,1,167,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
169,1,168,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
170,1,169,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
171,1,170,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
172,1,171,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
173,1,172,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
174,1,173,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
175,1,174,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
176,1,175,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
177,1,176,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
178,1,177,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
179,1,178,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
180,1,179,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
181,1,180,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
182,1,181,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
183,1,182,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
184,1,183,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
185,1,184,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
186,1,185,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
187,1,186,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
188,1,187,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
189,1,188,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
190,1,189,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
191,1,190,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
192,1,191,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
193,1,192,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
194,1,193,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
195,1,194,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
196,1,195,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
197,1,196,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
198,1,197,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
199,1,198,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
200,1,199,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
201,1,200,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
202,1,201,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
203,1,202,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
204,1,203,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
205,1,204,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
206,1,205,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
207,1,206,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
208,1,207,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
209,1,208,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
210,1,209,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
211,1,210,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
212,1,211,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
213,1,212,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
214,1,213,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
215,1,214,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
216,1,215,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
217,1,216,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
218,1,217,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
219,1,218,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
220,1,219,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
221,1,220,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
222,1,221,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
223,1,222,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
224,1,223,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
225,1,224,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
226,1,225,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
227,1,226,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
228,1,227,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
229,1,228,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
230,1,229,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
231,1,230,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
232,1,231,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
233,1,232,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
234,1,233,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
235,1,234,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
236,1,235,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
237,1,236,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
238,1,237,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
239,1,238,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,3,0
240,1,239,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,3,0
241,1,240,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
242,1,241,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
243,1,242,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
244,1,243,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
245,1,244,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
246,1,245,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
247,1,246,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
248,1,247,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
249,1,248,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
250,1,249,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
251,1,250,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
252,1,251,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
253,1,252,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
254,1,253,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
255,1,254,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
256,1,255,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
257,1,256,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
258,1,257,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
259,1,258,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
260,1,259,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
261,1,260,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
262,1,261,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
263,1,262,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
264,1,263,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
265,1,264,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
266,1,265,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
267,1,266,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
268,1,267,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
269,1,268,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
270,1,269,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
271,1,270,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
272,1,271,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
273,1,272,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
274,1,273,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
275,1,274,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
276,1,275,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
277,1,276,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
278,1,277,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
279,1,278,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
280,1,279,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
281,1,280,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
282,1,281,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
283,1,282,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
284,1,283,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
285,1,284,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
286,1,285,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
287,1,286,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
288,1,287,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
289,1,288,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
290,1,289,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
291,1,290,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
292,1,291,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
293,1,292,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
294,1,293,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
295,1,294,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
296,1,295,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
297,1,296,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
298,1,297,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
299,1,298,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
300,1,299,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
301,1,300,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
302,1,301,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
303,1,302,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
304,1,303,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
305,1,304,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
306,1,305,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
307,1,306,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
308,1,307,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
309,1,308,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
310,1,309,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
311,1,310,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
312,1,311,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
313,1,312,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
314,1,313,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
315,1,314,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
316,1,315,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
317,1,316,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
318,1,317,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
319,1,318,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,4,0
320,1,319,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,4,0
321,1,320,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,5,0
322,1,321,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,5,0
323,1,322,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,5,0
324,1,323,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,5,0
325,1,324,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,5,0
326,1,325,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,5,0
327,1,326,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,5,0
328,1,327,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,5,0
329,1,328,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,5,0
330,1,329,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,5,0
331,1,330,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,5,0
332,1,331,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,5,0
333,1,332,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,5,0
334,1,333,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,5,0
335,1,334,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,5,0
336,1,335,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,5,0
337,1,336,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,5,0
338,1,337,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,5,0
339,1,338,Pressure Drop,Pressure Drop,0.4,52,66,0.4,-1,5,0
340,1,339,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,5,0
341,1,340,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,5,0
342,1,341,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,5,0
343,1,342,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,5,0
344,1,343,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,5,0
345,1,344,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,5,0
346,1,345,Pressure Drop,Pressure Drop,0.4,52,66,0.4,1,5,0
