Time,Pressure,Temperature,Position,Flow,Speed,CycleCount,Health,Fault,Vibration
38,4.53,35.78,20,11.32,111.02,20,73,Air Leakage,0.99
39,5.65,37.0,10,9.92,115.95,20,69,Seal Wear,2.14
40,4.84,37.19,0,11.89,109.32,20,67,Air Leakage,0.99
41,5.33,37.31,10,10.4,88.01,21,62,Valve Sticking,2.66
42,5.22,37.49,20,10.49,95.09,22,58,Valve Sticking,3.92
43,5.61,38.29,30,9.72,111.63,23,55,Seal Wear,1.55
44,5.74,39.56,40,10.12,117.64,24,52,Seal Wear,1.95
45,5.19,39.66,50,10.39,84.15,25,47,Valve Sticking,3.82
46,5.48,41.16,60,9.87,117.55,26,45,Seal Wear,2.18
47,5.21,42.13,70,10.4,106.06,27,43,Seal Wear,1.58
48,4.98,42.19,80,9.85,83.85,28,39,Valve Sticking,3.81
49,5.23,43.72,90,10.15,115.16,29,35,Seal Wear,2.34
50,4.64,43.73,100,11.96,105.65,30,34,Air Leakage,0.81
51,5.13,43.92,90,9.51,94.18,30,29,Valve Sticking,2.56
52,5.48,45.45,80,9.87,109.17,30,26,Seal Wear,2.28
53,5.05,45.63,70,11.59,106.01,30,25,Air Leakage,0.92
54,4.88,45.72,60,10.07,82.45,30,22,Valve Sticking,3.27
55,5.52,45.91,50,9.93,84.85,30,18,Valve Sticking,3.56
56,5.49,46.63,40,10.48,111.78,30,15,Seal Wear,2.2
57,5.79,47.59,30,10.01,115.85,30,11,Seal Wear,2.11
58,4.67,47.76,20,11.81,106.7,30,9,Air Leakage,0.86
59,5.69,48.46,10,9.53,118.47,30,6,Seal Wear,2.06
60,5.64,49.51,0,10.28,116.41,30,2,Seal Wear,2.42
61,5.35,49.63,10,9.74,82.38,31,0,Valve Sticking,3.61
62,5.24,50.45,20,9.83,111.62,32,0,Seal Wear,2.12
63,5.08,50.62,30,11.59,99.13,33,0,Air Leakage,0.89
64,5.03,50.65,40,11.1,108.11,34,0,Air Leakage,1.07
65,4.63,50.78,50,11.01,99.38,35,0,Air Leakage,0.93
66,5.44,51.8,60,9.52,110.39,36,0,Seal Wear,1.94
67,5.44,52.53,70,10.48,110.88,37,0,Seal Wear,1.68
68,4.98,52.63,80,10.15,92.48,38,0,Valve Sticking,3.73
69,5.79,53.27,90,10.26,117.98,39,0,Seal Wear,1.73
70,5.0,53.27,100,9.58,85.49,40,0,Valve Sticking,2.54
71,5.43,53.94,90,9.58,119.72,40,0,Seal Wear,2.32
72,5.17,54.07,80,10.27,89.14,40,0,Valve Sticking,3.96
73,5.3,54.22,70,9.57,88.88,40,0,Valve Sticking,3.13
74,5.34,55.74,60,10.4,116.36,40,0,Seal Wear,1.74
75,5.37,55.78,50,9.93,83.94,40,0,Valve Sticking,3.16
76,5.36,56.46,40,10.48,112.24,40,0,Seal Wear,1.9
77,5.29,57.02,30,9.76,111.39,40,0,Seal Wear,2.11
78,5.73,58.34,20,9.85,108.13,40,0,Seal Wear,2.3
79,4.53,58.37,10,12.06,98.26,40,0,Air Leakage,0.84
80,5.37,59.41,0,9.71,113.1,40,0,Seal Wear,2.11
81,5.01,59.5,10,11.9,104.83,41,0,Air Leakage,0.9
82,5.47,60.28,20,9.52,108.16,42,0,Seal Wear,1.74
83,5.47,60.31,30,9.62,87.28,43,0,Valve Sticking,3.26
84,4.58,60.4,40,12.21,99.35,44,0,Air Leakage,1.11
85,5.41,60.41,50,9.65,90.79,45,0,Valve Sticking,3.9
86,5.03,60.43,60,11.63,99.4,46,0,Air Leakage,0.96
87,5.01,60.54,70,11.96,109.71,47,0,Air Leakage,0.93
88,4.68,60.61,80,10.85,98.11,48,0,Air Leakage,0.86
89,4.6,60.7,90,10.88,98.26,49,0,Air Leakage,1.13
90,5.28,60.79,100,10.25,86.77,50,0,Valve Sticking,3.96
91,4.65,60.99,90,11.38,102.64,50,0,Air Leakage,0.86
92,5.78,62.5,80,10.41,109.92,50,0,Seal Wear,1.53
93,5.0,62.58,70,9.98,93.96,50,0,Valve Sticking,2.71
94,5.11,62.77,60,11.7,105.32,50,0,Air Leakage,0.9
95,4.58,62.88,50,10.66,97.53,50,0,Air Leakage,0.83
96,4.29,63.01,40,11.18,106.44,50,0,Air Leakage,0.95
97,4.88,63.05,30,11.29,109.41,50,0,Air Leakage,0.92
98,5.27,64.27,20,9.84,113.07,50,0,Seal Wear,1.66
99,4.99,64.44,10,12.11,107.62,50,0,Air Leakage,1.09
100,4.99,64.55,0,11.46,104.83,50,0,Air Leakage,0.81
101,5.51,65.21,10,10.09,116.64,51,0,Seal Wear,2.42
102,5.31,65.3,20,9.77,101.06,52,0,Valve Sticking,3.45
103,5.51,66.36,30,10.35,115.08,53,0,Seal Wear,1.54
104,5.33,67.33,40,9.5,115.55,54,0,Seal Wear,1.97
105,5.21,68.15,50,10.47,116.53,55,0,Seal Wear,1.81
106,5.4,68.23,60,10.47,96.0,56,0,Valve Sticking,3.34
107,4.93,68.26,70,9.89,92.57,57,0,Valve Sticking,2.82
108,5.6,69.52,80,10.35,117.42,58,0,Seal Wear,1.95
109,5.79,70.3,90,9.83,115.43,59,0,Seal Wear,1.95
110,5.53,71.67,100,10.23,111.02,60,0,Seal Wear,2.07
111,5.03,71.77,90,10.43,93.97,60,0,Valve Sticking,3.89
112,5.04,71.82,80,10.26,101.84,60,0,Valve Sticking,3.26
113,5.42,72.49,70,9.64,118.9,60,0,Seal Wear,1.82
114,4.82,72.5,60,10.22,101.36,60,0,Valve Sticking,3.62
115,4.96,72.68,50,10.22,89.02,60,0,Valve Sticking,3.11
116,4.75,72.82,40,11.9,106.85,60,0,Air Leakage,0.91
117,5.6,74.05,30,9.69,114.79,60,0,Seal Wear,2.21
118,5.45,75.34,20,9.67,117.02,60,0,Seal Wear,2.27
119,5.2,75.54,10,9.52,90.37,60,0,Valve Sticking,3.99
120,5.54,75.69,0,10.36,93.89,60,0,Valve Sticking,3.5
121,5.6,76.66,10,10.2,109.55,61,0,Seal Wear,1.52
122,4.97,76.71,20,9.84,95.23,62,0,Valve Sticking,3.78
123,5.61,77.45,30,9.69,112.38,63,0,Seal Wear,1.78
124,5.35,78.82,40,9.53,106.97,64,0,Seal Wear,1.64
125,4.47,78.87,50,11.29,104.19,65,0,Air Leakage,1.02
126,4.61,78.89,60,10.95,100.48,66,0,Air Leakage,0.82
127,5.08,79.02,70,11.56,105.02,67,0,Air Leakage,1.19
128,4.94,79.1,80,9.72,102.01,68,0,Valve Sticking,2.78
129,5.33,79.17,90,10.04,93.59,69,0,Valve Sticking,3.69
130,4.64,79.36,100,11.62,105.07,70,0,Air Leakage,1.15
131,4.51,79.5,90,11.07,101.78,70,0,Air Leakage,0.96
132,5.47,79.59,80,9.59,82.15,70,0,Valve Sticking,2.61
133,5.52,80.86,70,10.23,111.1,70,0,Seal Wear,2.16
134,4.88,80.96,60,11.57,106.81,70,0,Air Leakage,0.93
135,4.98,81.14,50,10.32,94.8,70,0,Valve Sticking,3.96
136,4.68,81.17,40,11.2,101.87,70,0,Air Leakage,1.0
137,5.46,82.0,30,9.68,118.89,70,0,Seal Wear,2.29
138,4.72,82.07,20,11.88,111.6,70,0,Air Leakage,0.99
139,4.8,82.22,10,11.86,110.32,70,0,Air Leakage,0.93
140,5.08,82.35,0,10.4,96.16,70,0,Valve Sticking,3.5
141,4.94,82.49,10,9.99,84.27,71,0,Valve Sticking,2.92
142,5.51,83.82,20,9.76,116.27,72,0,Seal Wear,1.78
143,4.87,83.95,30,9.59,88.68,73,0,Valve Sticking,3.61
144,5.33,85.43,40,10.1,114.1,74,0,Seal Wear,1.55
145,5.55,86.16,50,10.09,109.93,75,0,Seal Wear,1.76
146,4.75,86.26,60,11.62,111.71,76,0,Air Leakage,1.18
147,4.94,86.33,70,11.11,96.3,77,0,Air Leakage,1.02
148,5.17,86.44,80,9.86,95.88,78,0,Valve Sticking,2.72
149,5.15,86.64,90,11.99,109.43,79,0,Air Leakage,0.82
150,5.33,88.08,100,10.1,114.63,80,0,Seal Wear,2.25
151,5.31,88.18,90,10.24,102.73,80,0,Valve Sticking,3.02
152,4.4,88.22,80,11.04,110.16,80,0,Air Leakage,0.91
153,5.29,89.37,70,10.42,111.67,80,0,Seal Wear,2.28
154,5.52,90.22,60,10.27,113.18,80,0,Seal Wear,2.46
155,4.9,90.36,50,12.26,102.8,80,0,Air Leakage,0.93
156,5.28,90.43,40,9.96,95.96,80,0,Valve Sticking,3.15
157,5.79,91.33,30,10.42,112.47,80,0,Seal Wear,2.19
158,4.84,91.37,20,11.58,107.51,80,0,Air Leakage,1.1
159,5.15,91.41,10,9.92,83.6,80,0,Valve Sticking,2.98
160,5.36,91.43,0,9.85,92.45,80,0,Valve Sticking,2.52
161,5.51,92.26,10,9.67,111.21,81,0,Seal Wear,2.46
162,5.31,92.92,20,10.29,112.57,82,0,Seal Wear,2.29
163,5.15,93.03,30,9.57,90.83,83,0,Valve Sticking,2.6
164,5.25,93.56,40,10.29,110.42,84,0,Seal Wear,2.17
165,5.35,93.73,50,10.22,96.7,85,0,Valve Sticking,3.97
166,4.88,93.87,60,11.43,107.77,86,0,Air Leakage,0.94
167,5.22,93.92,70,9.55,95.55,87,0,Valve Sticking,2.71
168,4.97,93.97,80,11.57,107.77,88,0,Air Leakage,1.03
169,4.95,94.16,90,11.3,104.4,89,0,Air Leakage,1.19
170,4.85,94.31,100,11.27,107.11,90,0,Air Leakage,0.84
171,5.14,94.5,90,12.2,101.34,90,0,Air Leakage,1.19
172,5.41,95.52,80,9.94,106.51,90,0,Seal Wear,1.83
173,4.81,95.61,70,10.05,99.0,90,0,Valve Sticking,3.02
174,5.62,96.96,60,10.0,116.91,90,0,Seal Wear,1.61
175,5.68,97.65,50,10.37,114.95,90,0,Seal Wear,1.79
176,4.95,97.8,40,11.56,101.56,90,0,Air Leakage,0.87
177,5.03,97.97,30,9.73,92.36,90,0,Valve Sticking,3.49
178,5.67,98.81,20,9.77,109.62,90,0,Seal Wear,2.21
179,5.64,100.02,10,10.43,108.78,90,0,Seal Wear,1.84
180,4.23,100.17,0,11.66,110.25,90,0,Air Leakage,1.07
181,5.63,101.16,10,10.06,110.35,91,0,Seal Wear,2.4
182,4.44,101.22,20,11.06,98.51,92,0,Air Leakage,0.99
183,4.93,101.24,30,11.09,98.58,93,0,Air Leakage,0.99
184,4.38,101.31,40,12.11,103.77,94,0,Air Leakage,0.95
185,4.51,101.39,50,11.84,105.29,95,0,Air Leakage,0.97
186,4.93,101.45,60,10.03,83.2,96,0,Valve Sticking,2.65
187,5.08,101.58,70,11.69,98.98,97,0,Air Leakage,1.03
188,4.83,101.61,80,11.83,101.23,98,0,Air Leakage,1.03
189,5.14,101.7,90,10.33,93.24,99,0,Valve Sticking,3.8
190,4.9,101.76,100,11.65,103.03,100,0,Air Leakage,0.97
191,4.75,101.83,90,11.41,108.07,100,0,Air Leakage,0.98
192,5.26,102.01,80,9.65,99.1,100,0,Valve Sticking,2.82
193,5.32,103.44,70,10.3,111.24,100,0,Seal Wear,1.54
194,4.82,103.63,60,10.25,100.88,100,0,Valve Sticking,3.72
195,4.88,103.72,50,12.32,108.51,100,0,Air Leakage,0.88
196,5.47,104.59,40,10.26,116.73,100,0,Seal Wear,2.03
197,4.79,104.75,30,10.79,98.6,100,0,Air Leakage,1.03
198,4.85,104.79,20,10.05,84.39,100,0,Valve Sticking,3.81
199,5.35,104.94,10,10.2,82.6,100,0,Valve Sticking,2.86
200,5.0,105.1,0,10.16,90.12,100,0,Valve Sticking,3.28
201,5.77,105.97,10,10.32,116.31,101,0,Seal Wear,1.91
202,5.16,106.04,20,10.44,97.13,102,0,Valve Sticking,2.55
203,4.85,106.09,30,11.45,104.77,103,0,Air Leakage,0.81
204,5.77,106.77,40,10.47,111.9,104,0,Seal Wear,2.43
205,5.76,107.92,50,10.44,111.63,105,0,Seal Wear,1.98
206,5.73,109.37,60,9.78,111.6,106,0,Seal Wear,2.18
207,5.33,109.39,70,9.93,82.04,107,0,Valve Sticking,3.98
208,5.01,109.48,80,10.27,90.78,108,0,Valve Sticking,2.8
209,5.34,110.77,90,9.7,117.98,109,0,Seal Wear,2.1
210,5.21,112.04,100,10.22,114.14,110,0,Seal Wear,1.83
211,4.44,112.21,90,11.18,102.94,110,0,Air Leakage,0.91
212,5.27,112.21,80,10.26,87.03,110,0,Valve Sticking,3.03
213,5.27,112.23,70,9.57,86.95,110,0,Valve Sticking,3.8
214,5.06,112.36,60,9.82,95.43,110,0,Valve Sticking,2.87
215,5.14,112.52,50,9.83,87.87,110,0,Valve Sticking,3.15
216,5.2,112.66,40,10.49,93.92,110,0,Valve Sticking,3.76
217,5.03,112.81,30,11.63,108.02,110,0,Air Leakage,0.86
218,5.61,113.68,20,10.16,117.6,110,0,Seal Wear,1.77
219,5.09,113.73,10,9.99,88.17,110,0,Valve Sticking,3.19
220,5.46,114.71,0,9.84,111.24,110,0,Seal Wear,1.73
221,4.68,114.76,10,11.24,103.65,111,0,Air Leakage,1.13
222,4.85,114.95,20,11.29,104.83,112,0,Air Leakage,0.87
223,5.29,115.57,30,10.11,109.6,113,0,Seal Wear,2.1
224,4.71,115.6,40,10.9,103.66,114,0,Air Leakage,0.94
225,5.73,116.25,50,10.09,114.52,115,0,Seal Wear,1.52
226,4.57,116.25,60,11.54,107.64,116,0,Air Leakage,1.16
227,4.45,116.28,70,11.99,109.89,117,0,Air Leakage,0.98
228,5.6,117.02,80,10.3,109.26,118,0,Seal Wear,1.72
229,4.53,117.22,90,11.41,107.31,119,0,Air Leakage,0.82
230,5.45,118.35,100,9.64,107.79,120,0,Seal Wear,1.73
231,5.74,119.93,90,10.22,114.14,120,0,Seal Wear,2.1
232,5.06,119.93,80,11.38,105.68,120,0,Air Leakage,1.19
233,5.43,121.36,70,9.9,118.96,120,0,Seal Wear,1.75
234,5.52,122.73,60,9.6,111.31,120,0,Seal Wear,2.23
235,4.68,122.84,50,11.58,107.1,120,0,Air Leakage,1.07
236,5.49,124.06,40,9.92,112.25,120,0,Seal Wear,2.08
237,5.64,125.08,30,10.46,109.09,120,0,Seal Wear,2.49
238,4.66,125.16,20,11.38,102.94,120,0,Air Leakage,0.94
239,4.92,125.22,10,11.22,104.45,120,0,Air Leakage,1.04
240,5.33,125.29,0,9.51,92.98,120,0,Valve Sticking,3.66
241,5.03,125.48,10,10.09,93.73,121,0,Valve Sticking,3.46
242,5.17,125.61,20,10.5,89.33,122,0,Valve Sticking,3.01
243,5.54,126.77,30,9.96,112.06,123,0,Seal Wear,1.97
244,4.95,126.83,40,11.08,104.9,124,0,Air Leakage,1.19
245,4.71,126.95,50,12.26,99.15,125,0,Air Leakage,1.14
246,5.19,126.99,60,9.99,93.19,126,0,Valve Sticking,3.11
247,5.23,127.8,70,10.22,110.73,127,0,Seal Wear,2.47
248,4.5,127.84,80,11.91,102.28,128,0,Air Leakage,1.02
249,4.71,127.85,90,11.86,97.71,129,0,Air Leakage,1.16
250,5.18,128.05,100,9.67,94.95,130,0,Valve Sticking,3.14
251,4.74,128.15,90,10.68,111.74,130,0,Air Leakage,0.99
252,5.11,128.2,80,10.09,84.44,130,0,Valve Sticking,2.71
253,5.78,129.6,70,9.7,114.33,130,0,Seal Wear,1.96
254,4.97,129.6,60,10.0,91.41,130,0,Valve Sticking,3.72
255,5.4,129.73,50,10.24,82.54,130,0,Valve Sticking,3.93
256,4.92,129.77,40,11.53,102.17,130,0,Air Leakage,0.88
257,4.96,129.78,30,9.86,96.97,130,0,Valve Sticking,3.38
258,5.18,129.81,20,9.58,86.3,130,0,Valve Sticking,3.69
259,5.22,129.88,10,10.02,96.71,130,0,Valve Sticking,3.99
260,5.71,131.04,0,9.76,109.69,130,0,Seal Wear,2.31
261,5.41,131.87,10,9.91,110.56,131,0,Seal Wear,2.49
262,5.44,131.95,20,9.57,94.6,132,0,Valve Sticking,2.73
263,4.47,132.07,30,11.33,106.24,133,0,Air Leakage,1.09
264,4.54,132.1,40,11.79,99.01,134,0,Air Leakage,0.81
265,4.8,132.3,50,11.4,105.22,135,0,Air Leakage,1.07
266,5.51,132.38,60,9.62,100.71,136,0,Valve Sticking,3.7
267,5.05,132.42,70,10.26,87.27,137,0,Valve Sticking,2.7
268,5.03,132.52,80,9.57,91.87,138,0,Valve Sticking,3.66
269,5.06,132.67,90,12.11,112.16,139,0,Air Leakage,0.82
270,5.76,133.57,100,10.47,109.09,140,0,Seal Wear,2.26
271,4.94,133.75,90,12.03,103.38,140,0,Air Leakage,0.9
272,5.7,135.21,80,9.9,114.41,140,0,Seal Wear,1.79
273,4.81,135.3,70,11.99,104.62,140,0,Air Leakage,1.2
274,4.38,135.38,60,11.59,104.69,140,0,Air Leakage,1.08
275,4.99,135.57,50,11.82,104.12,140,0,Air Leakage,1.18
276,5.05,135.69,40,10.1,94.31,140,0,Valve Sticking,2.77
277,5.37,136.54,30,10.12,105.89,140,0,Seal Wear,2.06
278,5.61,137.29,20,10.13,114.34,140,0,Seal Wear,1.96
279,5.18,137.31,10,10.49,92.48,140,0,Valve Sticking,3.15
280,5.74,138.21,0,9.93,113.74,140,0,Seal Wear,1.87
281,5.21,139.22,10,9.96,111.65,141,0,Seal Wear,2.36
282,4.35,139.27,20,11.38,95.68,142,0,Air Leakage,0.81
283,4.83,139.29,30,11.09,99.46,143,0,Air Leakage,1.07
284,5.7,140.41,40,10.47,113.47,144,0,Seal Wear,2.18
285,4.91,140.58,50,10.04,92.26,145,0,Valve Sticking,3.38
286,5.55,140.72,60,10.36,82.24,146,0,Valve Sticking,3.15
287,5.36,141.96,70,10.19,107.6,147,0,Seal Wear,1.89
288,5.31,143.04,80,9.72,113.68,148,0,Seal Wear,2.28
289,4.54,143.13,90,11.46,102.98,149,0,Air Leakage,1.1
290,5.13,143.15,100,10.01,94.47,150,0,Valve Sticking,3.26
291,4.58,143.17,90,11.33,103.76,150,0,Air Leakage,1.11
292,4.82,143.24,80,11.11,101.45,150,0,Air Leakage,0.92
293,5.14,143.43,70,9.65,93.17,150,0,Valve Sticking,2.7
294,5.05,143.62,60,9.97,87.33,150,0,Valve Sticking,3.56
295,5.41,144.77,50,9.97,108.18,150,0,Seal Wear,2.24
296,5.32,145.93,40,9.91,114.12,150,0,Seal Wear,1.72
297,5.28,146.45,30,9.63,114.66,150,0,Seal Wear,1.76
298,5.79,148.01,20,10.38,118.63,150,0,Seal Wear,2.25
299,4.95,148.04,10,9.93,88.49,150,0,Valve Sticking,3.89
300,5.07,148.1,0,9.96,94.05,150,0,Valve Sticking,3.61
301,4.61,148.18,10,11.81,105.08,151,0,Air Leakage,0.97
302,4.87,148.37,20,11.26,102.73,152,0,Air Leakage,0.81
303,5.43,149.2,30,9.75,116.2,153,0,Seal Wear,2.49
304,4.35,149.2,40,11.24,106.71,154,0,Air Leakage,0.95
305,4.49,149.2,50,11.58,102.61,155,0,Air Leakage,1.19
306,4.89,149.28,60,11.97,97.95,156,0,Air Leakage,1.09
307,4.85,149.37,70,11.27,104.15,157,0,Air Leakage,1.11
308,4.79,149.46,80,9.63,86.95,158,0,Valve Sticking,3.89
309,4.88,149.53,90,9.54,92.96,159,0,Valve Sticking,3.34
310,5.44,149.65,100,10.42,90.57,160,0,Valve Sticking,3.43
311,4.71,149.68,90,10.78,110.07,160,0,Air Leakage,1.1
312,4.92,149.71,80,10.91,108.87,160,0,Air Leakage,1.07
313,5.67,151.28,70,10.15,115.74,160,0,Seal Wear,2.25
314,5.33,151.48,60,9.93,89.23,160,0,Valve Sticking,2.59
315,5.1,151.54,50,10.06,86.2,160,0,Valve Sticking,3.71
316,4.82,151.69,40,11.36,104.83,160,0,Air Leakage,1.0
317,4.98,151.7,30,9.54,89.53,160,0,Valve Sticking,3.0
318,5.27,153.2,20,10.2,108.59,160,0,Seal Wear,1.65
319,5.59,154.09,10,10.02,111.74,160,0,Seal Wear,1.52
320,5.1,154.13,0,10.04,91.86,160,0,Valve Sticking,2.79
321,5.49,154.15,10,10.31,90.12,161,0,Valve Sticking,3.72
322,5.55,154.35,20,9.75,84.21,162,0,Valve Sticking,2.74
323,4.61,154.49,30,11.76,103.08,163,0,Air Leakage,1.08
324,4.84,154.57,40,12.28,101.22,164,0,Air Leakage,1.18
325,5.14,154.64,50,9.5,94.12,165,0,Valve Sticking,2.83
326,5.65,155.47,60,10.49,117.46,166,0,Seal Wear,1.85
327,5.54,155.66,70,9.57,98.48,167,0,Valve Sticking,3.47
328,5.09,155.76,80,11.63,104.08,168,0,Air Leakage,0.88
329,5.29,156.43,90,9.88,113.07,169,0,Seal Wear,1.82
330,4.91,156.51,100,9.95,89.2,170,0,Valve Sticking,4.0
331,4.94,156.7,90,11.87,105.7,170,0,Air Leakage,0.91
332,5.33,158.19,80,10.46,113.58,170,0,Seal Wear,2.15
333,4.84,158.22,70,11.28,96.45,170,0,Air Leakage,1.08
334,5.71,159.3,60,10.1,114.47,170,0,Seal Wear,1.76
335,5.67,159.87,50,9.87,115.3,170,0,Seal Wear,2.07
336,4.88,159.89,40,11.84,106.4,170,0,Air Leakage,1.13
337,5.79,161.33,30,10.28,115.2,170,0,Seal Wear,2.41
338,4.97,161.46,20,11.13,108.04,170,0,Air Leakage,0.95
339,4.69,161.55,10,11.61,112.03,170,0,Air Leakage,0.96
340,4.91,161.59,0,10.14,90.21,170,0,Valve Sticking,3.62
341,4.9,161.73,10,12.28,100.59,171,0,Air Leakage,0.93
342,5.47,161.79,20,10.19,88.89,172,0,Valve Sticking,2.78
343,4.98,161.93,30,9.78,102.45,173,0,Valve Sticking,3.33
344,5.29,162.82,40,10.36,117.12,174,0,Seal Wear,1.82
345,5.17,162.85,50,11.24,105.54,175,0,Air Leakage,0.99
346,4.68,162.98,60,11.45,112.87,176,0,Air Leakage,1.12
347,5.11,163.09,70,9.57,95.53,177,0,Valve Sticking,2.51
348,4.94,163.23,80,9.72,87.3,178,0,Valve Sticking,2.7
349,4.88,163.38,90,9.64,92.5,179,0,Valve Sticking,3.11
350,5.27,163.46,100,11.28,112.63,180,0,Air Leakage,1.0
351,5.47,164.28,90,9.65,113.11,180,0,Seal Wear,2.41
352,4.88,164.43,80,11.86,104.73,180,0,Air Leakage,0.88
353,5.79,165.6,70,9.7,109.22,180,0,Seal Wear,1.73
354,5.3,166.84,60,10.24,109.63,180,0,Seal Wear,1.74
355,4.84,166.95,50,10.02,92.88,180,0,Valve Sticking,3.94
356,5.77,168.12,40,10.0,106.74,180,0,Seal Wear,1.95
357,4.62,168.24,30,11.67,110.38,180,0,Air Leakage,0.92
358,4.72,168.42,20,11.09,100.14,180,0,Air Leakage,1.04
359,5.51,169.53,10,10.14,117.24,180,0,Seal Wear,2.27
360,4.99,169.68,0,11.02,106.92,180,0,Air Leakage,1.13
361,4.95,169.86,10,11.45,99.65,181,0,Air Leakage,1.17
362,5.1,169.94,20,10.43,96.17,182,0,Valve Sticking,3.49
363,5.39,171.21,30,10.39,107.49,183,0,Seal Wear,2.28
364,4.45,171.36,40,11.04,104.61,184,0,Air Leakage,0.88
365,4.65,171.4,50,10.77,105.19,185,0,Air Leakage,0.99
366,4.8,171.43,60,10.45,96.05,186,0,Valve Sticking,3.8
367,5.05,171.61,70,9.67,94.25,187,0,Valve Sticking,2.69
368,5.3,171.63,80,10.22,93.82,188,0,Valve Sticking,3.89
369,5.73,172.96,90,9.72,112.28,189,0,Seal Wear,2.05
370,4.8,173.02,100,11.35,106.85,190,0,Air Leakage,0.91
371,5.7,174.52,90,10.26,111.75,190,0,Seal Wear,2.1
372,4.2,174.67,80,11.38,105.71,190,0,Air Leakage,1.07
373,5.36,175.42,70,9.73,105.59,190,0,Seal Wear,1.85
374,4.46,175.45,60,11.83,101.22,190,0,Air Leakage,0.88
375,5.33,175.58,50,9.58,90.38,190,0,Valve Sticking,3.43
376,4.52,175.7,40,11.99,110.51,190,0,Air Leakage,0.88
377,5.49,175.81,30,9.86,99.74,190,0,Valve Sticking,2.94
378,5.14,175.86,20,11.43,103.88,190,0,Air Leakage,0.83
379,5.14,176.04,10,10.01,91.48,190,0,Valve Sticking,3.57
380,4.71,176.08,0,10.9,103.83,190,0,Air Leakage,0.99
381,5.79,177.33,10,10.16,113.01,191,0,Seal Wear,2.22
382,5.12,177.36,20,12.01,108.61,192,0,Air Leakage,0.91
383,4.72,177.46,30,11.71,106.92,193,0,Air Leakage,1.03
384,5.75,178.4,40,9.66,111.19,194,0,Seal Wear,2.05
385,5.23,178.52,50,9.78,86.53,195,0,Valve Sticking,2.74
386,5.2,178.58,60,10.21,95.71,196,0,Valve Sticking,2.58
387,5.67,180.13,70,10.1,118.59,197,0,Seal Wear,2.48
388,5.73,181.5,80,9.62,113.53,198,0,Seal Wear,2.15
389,4.97,181.55,90,10.92,104.52,199,0,Air Leakage,1.02
390,4.81,181.59,100,11.55,105.3,200,0,Air Leakage,1.14
391,4.98,181.77,90,11.57,97.57,200,0,Air Leakage,0.86
392,4.72,181.93,80,11.38,96.58,200,0,Air Leakage,1.1
393,5.37,181.95,70,9.51,100.32,200,0,Valve Sticking,2.84
394,5.76,183.18,60,10.26,112.09,200,0,Seal Wear,1.68
395,4.99,183.23,50,9.73,87.31,200,0,Valve Sticking,3.04
